"","Age","Status"
"481","15To19","FullTime"
"482","15To19","FullTime"
"483","15To19","FullTime"
"484","15To19","FullTime"
"485","15To19","FullTime"
"486","15To19","FullTime"
"487","15To19","FullTime"
"488","15To19","FullTime"
"489","15To19","FullTime"
"490","15To19","FullTime"
"491","15To19","FullTime"
"492","15To19","FullTime"
"493","15To19","FullTime"
"494","15To19","FullTime"
"495","15To19","FullTime"
"496","15To19","FullTime"
"497","15To19","FullTime"
"498","15To19","FullTime"
"499","15To19","FullTime"
"500","15To19","FullTime"
"501","15To19","FullTime"
"502","15To19","FullTime"
"503","15To19","FullTime"
"504","15To19","FullTime"
"505","15To19","FullTime"
"506","15To19","FullTime"
"507","15To19","FullTime"
"508","15To19","FullTime"
"509","15To19","FullTime"
"510","15To19","FullTime"
"511","15To19","FullTime"
"512","15To19","FullTime"
"513","15To19","FullTime"
"514","15To19","FullTime"
"515","15To19","FullTime"
"516","15To19","FullTime"
"517","15To19","FullTime"
"518","15To19","FullTime"
"519","15To19","FullTime"
"520","15To19","FullTime"
"521","15To19","FullTime"
"522","15To19","FullTime"
"523","15To19","FullTime"
"524","15To19","FullTime"
"525","15To19","FullTime"
"526","15To19","FullTime"
"527","15To19","FullTime"
"528","15To19","FullTime"
"529","15To19","FullTime"
"530","15To19","FullTime"
"531","15To19","FullTime"
"532","15To19","FullTime"
"533","15To19","FullTime"
"534","15To19","FullTime"
"535","15To19","FullTime"
"536","15To19","FullTime"
"537","15To19","FullTime"
"538","15To19","FullTime"
"539","15To19","FullTime"
"540","15To19","FullTime"
"541","15To19","FullTime"
"542","15To19","FullTime"
"543","15To19","FullTime"
"544","15To19","FullTime"
"545","15To19","FullTime"
"546","15To19","FullTime"
"547","15To19","FullTime"
"548","15To19","FullTime"
"549","15To19","FullTime"
"550","15To19","FullTime"
"551","15To19","FullTime"
"552","15To19","FullTime"
"553","15To19","FullTime"
"554","15To19","FullTime"
"555","15To19","FullTime"
"556","15To19","FullTime"
"557","15To19","FullTime"
"558","15To19","FullTime"
"559","15To19","FullTime"
"560","15To19","FullTime"
"561","15To19","FullTime"
