varnames = FOB xcoord ycoord zcoord pitch roll yaw casenum
1 9.7 15.08 -6.78 123.24 -4.02 13.38 136
2 12.36 8.29 -6.21 109.82 20.13 19.47 137
3 16.16 2.65 -6.98 -151.19 -61.68 -6.75 138
1 9.7 15.08 -6.77 123.27 -4 13.38 139
2 12.35 8.29 -6.21 109.82 20.13 19.45 140
3 16.15 2.65 -6.98 -151.17 -61.68 -6.77 141
1 9.7 15.08 -6.77 123.27 -4 13.38 142
2 12.36 8.29 -6.21 109.82 20.13 19.47 143
3 16.16 2.65 -6.98 -151.17 -61.66 -6.75 144
1 9.7 15.08 -6.77 123.27 -4 13.36 145
2 12.35 8.29 -6.21 109.82 20.1 19.45 146
3 16.16 2.65 -6.98 -151.17 -61.66 -6.77 147
1 9.7 15.08 -6.77 123.27 -4 13.36 148
2 12.35 8.29 -6.21 109.84 20.08 19.45 149
3 16.16 2.65 -6.98 -151.19 -61.63 -6.72 150
1 9.7 15.08 -6.77 123.27 -4 13.36 151
2 12.35 8.29 -6.22 109.82 20.08 19.45 152
3 16.16 2.65 -6.98 -151.19 -61.61 -6.72 153
1 9.7 15.08 -6.77 123.24 -3.96 13.36 154
2 12.34 8.29 -6.22 109.8 20.06 19.45 155
3 16.15 2.65 -6.99 -151.22 -61.61 -6.72 156
1 9.7 15.08 -6.77 123.24 -3.96 13.36 157
2 12.33 8.3 -6.22 109.78 19.97 19.42 158
3 16.14 2.65 -7 -151.22 -61.59 -6.77 159
1 9.7 15.08 -6.77 123.24 -3.96 13.36 160
2 12.32 8.3 -6.23 109.69 19.84 19.38 161
3 16.14 2.64 -7.01 -151.26 -61.5 -6.75 162
1 9.7 15.08 -6.77 123.24 -3.93 13.38 163
2 12.3 8.3 -6.23 109.64 19.75 19.34 164
3 16.12 2.64 -7.02 -151.28 -61.33 -6.75 165
1 9.69 15.09 -6.76 123.22 -3.96 13.38 166
2 12.28 8.31 -6.23 109.58 19.56 19.29 167
3 16.1 2.63 -7.04 -151.17 -61.15 -6.86 168
1 9.69 15.08 -6.75 123.18 -3.91 13.38 169
2 12.26 8.3 -6.22 109.51 19.4 19.27 170
3 16.09 2.63 -7.05 -151.22 -61.08 -6.88 171
1 9.69 15.09 -6.75 123.16 -3.87 13.4 172
2 12.25 8.31 -6.23 109.51 19.36 19.27 173
3 16.07 2.61 -7.06 -151.26 -60.97 -6.9 174
1 9.68 15.08 -6.74 123.07 -3.78 13.47 175
2 12.24 8.3 -6.23 109.45 19.23 19.27 176
3 16.05 2.59 -7.08 -151.24 -60.91 -7.01 177
1 9.68 15.08 -6.73 122.98 -3.74 13.47 178
2 12.23 8.29 -6.23 109.4 19.16 19.29 179
3 16.05 2.59 -7.09 -151.26 -60.86 -6.99 180
1 9.67 15.07 -6.72 122.92 -3.63 13.54 181
2 12.23 8.29 -6.23 109.38 19.12 19.29 182
3 16.04 2.58 -7.09 -151.26 -60.78 -7.03 183
1 9.66 15.07 -6.71 122.87 -3.56 13.62 184
2 12.22 8.28 -6.23 109.34 19.03 19.31 185
3 16.03 2.58 -7.1 -151.26 -60.75 -7.05 186
1 9.65 15.08 -6.71 122.81 -3.47 13.73 187
2 12.21 8.28 -6.23 109.34 18.94 19.31 188
3 16.03 2.58 -7.11 -151.22 -60.64 -7.08 189
1 9.64 15.07 -6.69 122.74 -3.41 13.78 190
2 12.2 8.28 -6.23 109.29 18.87 19.31 191
3 16.02 2.56 -7.12 -151.26 -60.62 -7.1 192
1 9.64 15.07 -6.69 122.72 -3.38 13.8 193
2 12.19 8.27 -6.23 109.25 18.81 19.31 194
3 16.01 2.56 -7.12 -151.26 -60.56 -7.1 195
1 9.63 15.07 -6.69 122.63 -3.3 13.86 196
2 12.18 8.27 -6.23 109.2 18.68 19.27 197
3 16 2.55 -7.13 -151.26 -60.53 -7.12 198
1 9.63 15.07 -6.69 122.59 -3.23 13.91 199
2 12.18 8.27 -6.23 109.18 18.65 19.25 200
3 15.99 2.54 -7.14 -151.28 -60.45 -7.1 201
1 9.63 15.07 -6.69 122.56 -3.19 13.93 202
2 12.17 8.27 -6.23 109.12 18.57 19.2 203
3 15.98 2.54 -7.15 -151.28 -60.38 -7.12 204
1 9.62 15.07 -6.68 122.54 -3.16 13.95 205
2 12.16 8.27 -6.22 109.12 18.46 19.16 206
3 15.97 2.54 -7.15 -151.26 -60.27 -7.1 207
1 9.62 15.07 -6.68 122.5 -3.14 13.97 208
2 12.15 8.27 -6.22 109.09 18.41 19.16 209
3 15.96 2.54 -7.16 -151.3 -60.18 -7.05 210
1 9.62 15.07 -6.68 122.45 -3.12 14.02 211
2 12.14 8.27 -6.22 109.05 18.33 19.16 212
3 15.96 2.53 -7.17 -151.3 -60.18 -7.08 213
1 9.61 15.07 -6.67 122.39 -3.05 14.11 214
2 12.13 8.27 -6.23 109.07 18.28 19.2 215
3 15.94 2.52 -7.18 -151.39 -60.1 -6.99 216
1 9.6 15.06 -6.67 122.34 -2.99 14.26 217
2 12.12 8.27 -6.22 109.05 18.19 19.25 218
3 15.93 2.52 -7.18 -151.41 -60.01 -6.9 219
1 9.59 15.06 -6.67 122.32 -2.97 14.3 220
2 12.11 8.26 -6.22 109.03 18.13 19.25 221
3 15.93 2.52 -7.19 -151.39 -59.96 -6.9 222
1 9.58 15.06 -6.67 122.28 -2.92 14.39 223
2 12.1 8.26 -6.23 109.03 18.08 19.27 224
3 15.92 2.52 -7.19 -151.41 -59.92 -6.81 225
1 9.57 15.07 -6.66 122.26 -2.97 14.48 226
2 12.09 8.26 -6.23 109.03 18 19.29 227
3 15.91 2.51 -7.21 -151.44 -59.83 -6.75 228
1 9.56 15.06 -6.66 122.21 -2.92 14.52 229
2 12.08 8.26 -6.24 108.96 17.93 19.31 230
3 15.91 2.5 -7.22 -151.48 -59.79 -6.7 231
1 9.56 15.06 -6.66 122.17 -2.92 14.57 232
2 12.08 8.26 -6.24 108.92 17.89 19.31 233
3 15.9 2.48 -7.23 -151.55 -59.66 -6.61 234
1 9.56 15.06 -6.66 122.15 -2.94 14.55 235
2 12.07 8.25 -6.26 108.83 17.82 19.31 236
3 15.88 2.47 -7.25 -151.52 -59.55 -6.59 237
1 9.55 15.06 -6.66 122.15 -2.94 14.57 238
2 12.05 8.25 -6.27 108.74 17.73 19.27 239
3 15.88 2.47 -7.26 -151.44 -59.48 -6.61 240
1 9.56 15.07 -6.66 122.1 -2.97 14.57 241
2 12.05 8.25 -6.27 108.68 17.67 19.2 242
3 15.86 2.47 -7.29 -151.46 -59.35 -6.55 243
1 9.56 15.06 -6.66 122.08 -2.97 14.55 244
2 12.04 8.24 -6.28 108.52 17.58 19.14 245
3 15.85 2.47 -7.29 -151.46 -59.24 -6.57 246
1 9.56 15.07 -6.66 122.04 -2.99 14.55 247
2 12.04 8.24 -6.3 108.37 17.51 19.09 248
3 15.85 2.47 -7.3 -151.44 -59.08 -6.57 249
1 9.56 15.07 -6.66 121.99 -3.03 14.55 250
2 12.03 8.23 -6.31 108.33 17.47 19.05 251
3 15.84 2.45 -7.32 -151.52 -58.97 -6.5 252
1 9.56 15.06 -6.66 121.97 -3.05 14.52 253
2 12.03 8.21 -6.33 108.13 17.42 19.01 254
3 15.83 2.43 -7.33 -151.55 -58.89 -6.5 255
1 9.56 15.07 -6.67 121.88 -3.12 14.5 256
2 12.02 8.2 -6.36 108.02 17.38 18.94 257
3 15.81 2.41 -7.37 -151.55 -58.82 -6.57 258
1 9.56 15.06 -6.67 121.79 -3.23 14.44 259
2 12.01 8.2 -6.37 107.97 17.36 18.92 260
3 15.8 2.4 -7.39 -151.55 -58.67 -6.57 261
1 9.57 15.06 -6.67 121.73 -3.3 14.39 262
2 12.01 8.19 -6.39 107.89 17.27 18.83 263
3 15.8 2.39 -7.4 -151.57 -58.56 -6.57 264
1 9.57 15.06 -6.68 121.6 -3.47 14.3 265
2 12 8.19 -6.4 107.84 17.23 18.79 266
3 15.8 2.37 -7.42 -151.66 -58.4 -6.55 267
1 9.58 15.05 -6.69 121.44 -3.63 14.24 268
2 12 8.17 -6.42 107.69 17.14 18.7 269
3 15.79 2.34 -7.45 -151.7 -58.32 -6.57 270
1 9.58 15.05 -6.7 121.38 -3.67 14.24 271
2 12 8.16 -6.44 107.58 17.07 18.65 272
3 15.78 2.32 -7.47 -151.72 -58.27 -6.59 273
1 9.59 15.03 -6.71 121.27 -3.8 14.13 274
2 12 8.15 -6.45 107.51 17.03 18.59 275
3 15.77 2.31 -7.48 -151.63 -58.1 -6.68 276
1 9.6 15.02 -6.71 121.16 -3.91 14 277
2 12 8.13 -6.46 107.36 16.94 18.44 278
3 15.77 2.31 -7.5 -151.5 -57.96 -6.72 279
1 9.6 15.02 -6.71 121.11 -3.98 13.93 280
2 12 8.12 -6.47 107.31 16.85 18.37 281
3 15.77 2.29 -7.5 -151.52 -57.88 -6.7 282
1 9.61 15.01 -6.71 121.05 -4.06 13.84 283
2 12 8.12 -6.48 107.27 16.81 18.33 284
3 15.77 2.29 -7.51 -151.46 -57.72 -6.77 285
1 9.62 15 -6.71 120.98 -4.17 13.75 286
2 12 8.1 -6.49 107.18 16.74 18.28 287
3 15.77 2.26 -7.54 -151.35 -57.66 -6.88 288
1 9.62 15 -6.72 120.96 -4.22 13.75 289
2 12.01 8.08 -6.5 107.09 16.72 18.28 290
3 15.77 2.25 -7.55 -151.28 -57.63 -6.92 291
1 9.63 14.99 -6.73 120.89 -4.28 13.78 292
2 12.01 8.07 -6.51 107.05 16.7 18.3 293
3 15.77 2.21 -7.57 -151.19 -57.55 -7.03 294
