GSM118665.CEL	GSM118666.CEL	GSM118667.CEL	GSM118668.CEL	GSM118669.CEL	GSM118671.CEL	GSM118673.CEL	GSM118674.CEL	GSM118677.CEL	GSM118679.CEL	GSM118681.CEL	GSM118682.CEL	GSM118684.CEL	GSM118686.CEL	GSM118687.CEL	GSM118689.CEL
1427484_at	6.71790377236088	6.69496911204503	6.12910249812862	6.23461869578974	6.3551938253076	5.24661485840288	5.44001850477039	5.21516130477657	5.09845998966745	5.34121436295152	5.3247057028683	5.3561900374966	4.96073634679637	5.4199974926032	5.55357686347757	4.74967161000137
1429265_a_at	7.51699962760116	7.5444599880239	8.04377390131108	7.61957878782163	7.27386926383239	5.76857309494232	5.8898550651776	6.84184916489606	5.78995654878584	5.56721811762119	5.63774874307715	5.57919565449911	5.72004258064542	5.80676011203123	5.41040698568633	5.80880231315633
1430558_at	6.66174064603605	6.92043874019317	6.5220624687231	6.57493647193297	6.77393462613784	5.15565899973102	5.80359851979887	5.94209693509982	5.73017226596624	5.69045011575611	5.48910292447597	5.4667062735409	5.34575796069788	5.7153426673604	5.8277240897903	5.48552067774555
1434451_at	5.48939239209294	5.40085664110944	4.67338095168689	5.66393468487436	4.97035905586102	7.46048446757765	7.25202848438985	7.25584113002665	7.02394233593995	7.49403667582621	7.07543223166994	6.83083893060942	7.00373826945686	7.16509346472983	7.2509619390726	6.90941483169198
1434914_at	6.30485519504108	5.88913458685899	6.27825015430557	6.12884279085174	6.31807291082003	4.40988814651226	4.12045334400813	5.30761610657296	3.90272769261903	4.08505337788324	3.82689649550016	3.81934512725283	4.06233212630199	3.85482956187732	3.78522658021493	4.4863452819369
1435456_at	6.41644160200923	6.62491140940409	6.68331251991718	6.48446996481393	7.11663609438039	4.86159746845913	5.3197687180196	5.8423227891819	4.49581715091781	4.41436246183777	4.57584349089706	4.40224711844394	4.42991130198353	4.33159362252189	4.54196328397852	4.39703716811466
1449507_a_at	9.84599084546081	9.93651330644156	9.80390376859632	10.1633757018550	9.7725012149159	10.719776051094	10.9281810194424	10.7332031736758	11.1034268064642	11.3202930374608	11.3084213980897	11.1393900109572	11.0856725997273	11.0954959741310	11.3350220374688	11.1307057810287
1449925_at	5.73452186919764	5.2417591691171	7.07874113333465	8.09576835421587	6.15326119762393	10.5151677402965	9.9742270735189	10.7722865782628	10.7308332124384	10.6475142034045	10.7951833938272	10.5666134349114	10.9177883674036	10.6221805925463	10.8328927579286	10.7104282690314
1450070_s_at	5.76915269310273	5.78180555380801	6.26944723530692	5.70385649775666	5.36891772288264	4.27682527953116	4.75945233748795	4.69951239427989	4.27685398884052	4.36438694113613	4.42140739274949	4.35800824505575	4.16536192603666	4.19559231742593	4.36577522906141	4.0277706343713
1450641_at	8.15525236775583	7.72422960171374	8.10686778948318	9.04000922132541	8.40978497844652	9.88153101799505	10.1483940394027	9.45262394601485	10.5253757141639	10.6844412465128	10.8065678620403	10.7534050093417	10.1967370430280	10.8181108602549	11.0576817191294	10.2662420094293
1453636_at	6.46947427751059	5.74846574594979	5.95285513304741	6.4011040961346	5.74560783522714	4.91461559257338	4.65639210275508	5.19585595977798	4.91234116269149	4.96802538152364	4.76213357142061	4.87133558571963	4.76038954385055	4.57173479374086	4.51133429906366	4.66399740701712
1454894_at	10.0895537855393	10.3821359440983	10.4436262320339	9.84683588708629	9.8731439890348	8.89792747944243	8.97063590859868	9.47017747025496	8.83986302443618	8.85038263929765	8.69904401205689	8.80669338955476	8.8064778582332	8.97049235980624	8.92910698755478	8.99465796443937
1457198_at	6.42879878251474	6.25900897170975	6.63214469611503	6.96964451585888	6.2607664362881	7.87028633025593	7.57309748131328	8.08429595622726	7.79659219852858	8.21439197889031	7.99765593850956	7.8371406985965	7.66266772082299	8.35186743863886	7.93895875302728	7.61453537799776
1457410_at	6.14158661570773	5.73808579065288	6.08708438443015	5.95951641710713	6.21497643654186	4.46778970872189	4.68403078630133	4.9642899741539	4.54777809700631	4.55649607633678	4.17457674629158	5.1178121755882	4.1333008551798	4.55144516465339	3.97890874389431	4.42610034377983
1460688_s_at	6.67507269893797	6.20629935391605	6.21094028064694	6.69250824791756	5.8984865542398	7.29236219788817	7.32927770459348	7.72903563419787	7.77597472083542	7.4679135881458	7.82224059418293	7.51735557339873	7.2770139922799	7.55216018449741	7.8091895355155	7.63940478885729
