UTMX	UTMY	Idxa	Gridpt_no.	Sampled	Elev_mean	Slope_mean	Aspece_mean	Aspval_mean	Aspwest_mean	Cir_mean	Cir_median	Red_mean	Red_median	Grn_mean	Grn_median	SpringDist	StreamDist	Dist2Water	DepthClass
490909	4636643	99000465	53	n	1988.43	7.404	165.504	0.168373	0.607256	130.129	129	135.446	134	110.463	108	3275.07393	117.31081	117.31081	Deep
491209	4636643	99000466	54	n	1981.4	5.3878	173.679	0.2871	0.60291	132.488	133	132.694	134	110.211	111	3569.33991	67.39503	67.39503	Deep
491509	4636643	99000467	55	n	1978.67	4.4806	183.787	0.135557	0.423434	124.999	125	126.586	127	102.85	103	3864.48774	96.721	96.721	Deep
491809	4636643	99000468	56	n	1986.51	7.7438	192.822	0.088639	0.404895	121.143	121	126.646	126	102.556	102	4160.32975	193.31192	193.31192	Deep
492109	4636643	99000469	57	n	1990.47	10.479	199.253	0.221683	0.381218	114.83	118	117.183	120	94.8335	97	4456.7277	293.9181	293.9181	Deep
492409	4636643	99000470	58	n	2002.91	13.32	168.801	0.360062	0.531449	122.469	126	124.337	128	102.157	106	4386.7885	388.14949	388.14949	Deep
492709	4636643	99000471	59	n	2019.12	9.8693	176.566	0.271577	0.540345	121.736	122	123.766	124	101.181	102	4313.72362	497.635	497.635	Deep
493009	4636643	99000472	60	n	2000.09	7.9228	144.915	0.422158	0.713539	125.711	125	126.855	126	104.114	103	4260.5762	612.24206	612.24206	Deep
493309	4636643	99000473	61	n	1982.98	11.442	142.916	0.461409	0.673101	124.211	128	125.317	128	102.66	106	4228.09741	711.69208	711.69208	Deep
475609	4636443	99000482	62	n	1807.41	2.1018	71.7445	0.814925	0.391416	94.6084	69	96.558	77	92.3782	79	4562.13689	5140.30277	4562.13689	water
475909	4636443	99000483	63	n	1906.74	32.6161	290.693	0.41954	0.034573	127.675	129	115.8	119	91.771	94	4265.24924	5333.60579	4265.24924	MedDeep
476209	4636443	99000484	64	n	2023.61	24.0293	198.009	0.371932	0.536425	146.792	154	138.098	149	115.135	125	3968.8297	5536.42383	3968.8297	MedDeep
476509	4636443	99000485	65	n	2005.04	16.771	198.774	0.160825	0.39273	141.927	144	123.011	127	102.686	105	3672.99161	5747.74973	3672.99161	Shallow
476809	4636443	99000486	66	n	2061.7	23.0837	247.867	0.190441	0.106767	128.684	128	104.289	105	84.9641	85	3377.88772	5613.87937	3377.88772	MedDeep
477109	4636443	99000487	67	n	2167.56	20.2942	244.938	0.126858	0.087965	139.64	139	118.456	122	99.5814	102	3083.72884	5350.24669	3083.72884	Shallow
477409	4636443	99000488	68	n	2222.41	13.4757	217.02	0.078094	0.279968	158.081	158	140.885	144	123.958	125	2790.81381	5070.08579	2790.81381	Shallow
477709	4636443	99000489	69	n	2249.55	13.1178	236.156	0.218698	0.245906	150.073	147	132.371	129	114.389	110	2499.57993	4789.06547	2499.57993	Shallow
478009	4636443	99000490	70	n	2282.61	4.3671	215.596	0.393191	0.313907	151.301	152	138.248	139	116.39	116	2210.69174	4510.49068	2210.69174	Shallow
478309	4636443	99000491	71	n	2277.43	4.2903	79.1384	0.792772	0.940265	150.825	151	126.199	130	104.157	105	1925.20547	4234.84407	1925.20547	Shallow
478609	4636443	99000492	72	n	2257.4	9.9461	127.938	0.893748	0.62312	144.311	143	111.195	117	92.8741	94	1644.89337	3962.73674	1644.89337	Deep
478909	4636443	99000493	73	n	2242.28	9.5093	33.6759	0.990747	0.730048	137.768	137	77.3837	78	73.7025	75	1372.92838	3694.95069	1372.92838	Deep
479209	4636443	99000494	74	n	2222.91	6.1485	94.308	0.854018	0.686147	142.545	145	120.598	121	101.051	102	1115.43286	3432.49744	1115.43286	Medium
479509	4636443	99000495	75	n	2226.72	3.068	188.723	0.401532	0.451394	145.527	146	126.915	128	110.17	110	885.12631	3176.69904	885.12631	Medium
479809	4636443	99000496	76	n	2223.15	4.0538	124.316	0.748159	0.702788	140.715	139	122.873	122	107.809	106	709.01813	2929.29939	709.01813	Medium
